Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.2,1.7,17194.48971748352
2,98,97,97.5,1.7,16755.190134048462
3,98,97,97.6,1.8,18012.207746505737
4,98,96,97.3,1.9,17762.982845306396
5,98,96,97.0,1.9,17401.894092559814
6,98,96,97.3,2.0,16872.22123146057
7,98,97,97.5,1.9,17781.785488128662
8,98,97,97.5,1.8,17849.555730819702
9,98,97,97.6,1.9,17849.71308708191
10,98,96,96.9,1.9,17487.32852935791
11,98,97,97.4,1.7,18538.037538528442
12,98,97,97.4,1.9,18901.663541793823
13,98,97,97.5,1.7,17577.22306251526
14,98,97,97.4,1.9,18073.08268547058
15,98,97,97.6,1.8,17706.389904022217
16,98,97,97.5,1.8,18135.96248626709
17,98,97,97.3,1.9,17958.50968360901
18,98,94,96.2,1.8,16490.511655807495
19,98,96,97.1,1.9,18647.754669189453
20,98,97,97.6,1.8,17230.951070785522
21,98,97,97.5,1.6,18151.414394378662
22,98,97,97.3,1.9,18549.559831619263
23,98,97,97.6,1.8,17616.942167282104
24,98,96,97.1,1.8,16051.47385597229
25,98,97,97.4,1.7,16859.692573547363
26,98,96,97.2,1.8,17889.34326171875
27,98,96,96.9,1.8,18679.269075393677
28,98,95,96.6,1.9,17619.041681289673
29,98,97,97.6,1.7,18113.15131187439
30,98,96,97.0,1.8,16724.628925323486
31,98,97,97.3,1.9,19187.2296333313
32,98,96,96.9,1.9,18228.752374649048
33,98,94,96.8,1.8,17673.125982284546
34,98,95,97.2,1.9,18180.55295944214
35,98,96,97.3,1.8,18775.510787963867
36,98,95,96.8,1.9,18212.011098861694
37,98,97,97.6,1.9,18386.052131652832
38,98,97,97.7,1.8,17495.083570480347
39,98,97,97.6,1.9,17301.50556564331
40,98,97,97.4,1.8,17179.752111434937
41,98,96,97.2,1.8,17374.29928779602
42,98,96,96.6,1.9,18150.9428024292
43,98,96,97.1,1.9,17961.915254592896
44,98,97,97.6,1.8,17702.279806137085
45,98,97,97.6,1.9,17021.357774734497
46,98,96,96.7,2.0,16991.045236587524
47,98,96,97.0,1.9,17869.32873725891
48,98,96,96.9,1.9,18225.49843788147
49,98,96,97.1,2.0,17112.769842147827
50,98,95,96.8,1.9,18205.896615982056
Media ,98.0,96.34,97.236,1.842,17754.337639808655
